id	filename	md5	size	state
01e4b744-ba8e-488c-b026-ebf94a2ef977	01e4b744-ba8e-488c-b026-ebf94a2ef977/nationwidechildrens.org_clinical.TCGA-OR-A5JJ.xml	549409165803c56e15dec558248925b2	40757	validated
05169de6-4ab3-42c4-b051-a7f345fc9a46	05169de6-4ab3-42c4-b051-a7f345fc9a46/nationwidechildrens.org_clinical.TCGA-OR-A5LO.xml	fcec6cd5f83375b0f05982a91f36721f	57582	validated
07d8c051-7c62-4ffb-be97-aa8eb94e9d49	07d8c051-7c62-4ffb-be97-aa8eb94e9d49/nationwidechildrens.org_clinical.TCGA-OR-A5K4.xml	46d51236af82dbcc9103ace54bdc4129	53388	validated
0946c99e-3e26-48b3-880e-8518d0169c65	0946c99e-3e26-48b3-880e-8518d0169c65/nationwidechildrens.org_clinical.TCGA-OR-A5JK.xml	908e8b32f0c63d89a2cad489617f041a	45497	validated
0d9d917e-7c3a-41ce-ab99-91409e298e40	0d9d917e-7c3a-41ce-ab99-91409e298e40/nationwidechildrens.org_clinical.TCGA-OR-A5KP.xml	ac0d4a7b8fd627d1bece74efc8225123	42236	validated
0e62aa33-6364-42f7-9ef1-39ab5cb93827	0e62aa33-6364-42f7-9ef1-39ab5cb93827/nationwidechildrens.org_clinical.TCGA-OR-A5L6.xml	1a1060f6d3fe3d49af5465977c082623	40749	validated
10c5dca8-4c98-47f7-807f-ee0b9957c404	10c5dca8-4c98-47f7-807f-ee0b9957c404/nationwidechildrens.org_clinical.TCGA-OR-A5JS.xml	d213d5e54190029fee263cf3b4af416a	49783	validated
119875a5-404f-4cc2-8572-b53e154ce1e8	119875a5-404f-4cc2-8572-b53e154ce1e8/nationwidechildrens.org_clinical.TCGA-OR-A5LT.xml	4d2a41da7905800504fbb6ce0d0dd4bd	40910	validated
13d76af3-1062-48bc-a79a-21de8873592b	13d76af3-1062-48bc-a79a-21de8873592b/nationwidechildrens.org_clinical.TCGA-PK-A5H8.xml	5041dfd51e3dceb044d4419f6f49d84f	40419	validated
13ed0add-d26a-4964-a10e-57e1572a1699	13ed0add-d26a-4964-a10e-57e1572a1699/nationwidechildrens.org_clinical.TCGA-OR-A5JX.xml	b62215a3bd227e580c6798c617ce9f00	49405	validated
1659a4b9-fa33-4699-b6ae-2b57ea2ae27e	1659a4b9-fa33-4699-b6ae-2b57ea2ae27e/nationwidechildrens.org_omf.TCGA-P6-A5OG.xml	cc5d59de3e880ec9e86f8bf5ca202c12	11989	validated
17621214-1fae-4aca-b3c4-deeea6ada0dc	17621214-1fae-4aca-b3c4-deeea6ada0dc/nationwidechildrens.org_clinical.TCGA-OR-A5K8.xml	2a481246e3520cb1b2df9d18f1e4f5b5	41027	validated
1a11b963-26a5-41a5-b0e6-02982143b165	1a11b963-26a5-41a5-b0e6-02982143b165/nationwidechildrens.org_clinical.TCGA-OR-A5J4.xml	0a589a57fa7855b7666e2d1b9cec7f77	39885	validated
1abc3e0e-16be-4cc8-a0f8-9e14643d2873	1abc3e0e-16be-4cc8-a0f8-9e14643d2873/nationwidechildrens.org_clinical.TCGA-OR-A5J3.xml	6b7d2b4ce59a8d94523af4119829f43e	48755	validated
1d642789-71f4-4a7e-a943-9d62403c800f	1d642789-71f4-4a7e-a943-9d62403c800f/nationwidechildrens.org_clinical.TCGA-P6-A5OF.xml	49ad0d203a8df12f4bf5b8dd5da8bbf9	36128	validated
1e10f91d-798b-4b55-bca4-004c73dea611	1e10f91d-798b-4b55-bca4-004c73dea611/nationwidechildrens.org_clinical.TCGA-OR-A5JO.xml	51157e18e30f5008155e2b3d127c10fa	48738	validated
20e3a138-6db5-4b19-b216-54a2c3474b1f	20e3a138-6db5-4b19-b216-54a2c3474b1f/nationwidechildrens.org_clinical.TCGA-OR-A5K9.xml	3fa365e0b339c35ff2a1acde59865553	41559	validated
21895b87-7e1e-4672-b114-bf349839ccfa	21895b87-7e1e-4672-b114-bf349839ccfa/nationwidechildrens.org_clinical.TCGA-OR-A5KV.xml	f5554d0c246cb184ec33ad546310ed17	42098	validated
23ffe7df-3b9a-4202-a4c7-c9508e56da25	23ffe7df-3b9a-4202-a4c7-c9508e56da25/nationwidechildrens.org_clinical.TCGA-PK-A5H9.xml	62e9318d5eae6c289211c507643f853c	40772	validated
25a189fc-7d44-4e64-8d78-4d097734e288	25a189fc-7d44-4e64-8d78-4d097734e288/nationwidechildrens.org_clinical.TCGA-OR-A5JG.xml	0ef9975bb0b347afcc4bfb72bef924fe	32648	validated
26b8b2c3-4ff0-441f-a233-f61ea1feb47a	26b8b2c3-4ff0-441f-a233-f61ea1feb47a/nationwidechildrens.org_clinical.TCGA-OR-A5JF.xml	a9a766a26aec0d01cbd053c2e53b9b6c	45458	validated
